WildType_Yaviza,State ,WB_Arm1,WB_Arm2,Wet weight,Dry_wheigth,Time fly (s),Intensity(dB)Edit,Wing Lw (mm),Wing Ll (mm),Wing Rw (mm),Wing Rl (mm)
Female,Copulate,245,496,0.0315,0.0139,83.642,54.8,1.907,4.312,1.914,4.318
Female,Copulate,242,491,0.0273,0.0122,77.111,60.3,1.7,3.971,1.726,3.96
Female,Copulate,216,439,0.0442,0.0182,27.98,58.7,1.958,4.562,1.964,4.57
Female,Copulate,213,395,0.0355,0.0169,5.178,63.5,1.972,4.441,1.924,4.4
Female,Copulate,183,366,0.0511,0.0231,12.678,57.2,2.036,4.858,2.058,4.858
Female,Copulate,216,439,0.0475,0.0189,7.726,55.3,2.011,4.855,2.07,4.934
Female,Copulate,259,528,0.0486,0.025,109.236,58.5,1.92,4.564,1.938,
Female,Copulate,231,473,0.0421,0.0142,200.934,57.4,2.039,4.906,2.07,4.995
Female,Copulate,250,508,0.0358,0.0131,141.247,58.3,1.946,4.466,1.939,4.434
Female,Copulate,225,447,0.0415,0.0153,158.596,54.1,2.066,4.871,2.071,4.86
Female,Copulate,256,513,0.0449,0.0163,136.891,53.7,1.978,4.883,2.004,4.9
Female,Copulate,235,473,0.0396,0.0148,135.892,-55.3,2,4.693,1.972,4.718
Female,Copulate,255,527,0.0389,0.0147,14.701,58.9,2.016,4.766,1.967,4.825
Female,Copulate,195,391,0.0403,0.0162,159.496,60.5,1.898,4.546,1.947,4.524
Female,Copulate,231,483,0.0491,0.0189,210,58.2,2.098,4.984,2.039,5.065
Female,Copulate,250,509,0.0393,0.0122,13.543,59.3,1.985,4.833,1.996,4.835
Female,Copulate,263,527,0.0478,0.0201,86.686,61.9,1.975,4.766,1.943,4.803
Female,Copulate,235,466,0.0472,0.0163,101.93,55.4,2.136,,2.115,
Female,Copulate,231,497,0.0546,0.0205,209.645,50.7,2.078,4.92,2.11,4.968
Female,Copulate,210,427,0.0483,0.0177,204.017,58.4,2.108,5.039,2.098,5.092
Female,Copulate,199,409,0.0451,0.0207,152.083,65.7,2.036,4.761,2.046,4.813
Female,Copulate,256,456,0.0575,0.0243,210,50.7,2.098,4.939,2.09,4.975
Female,Copulate,231,474,0.0448,0.015,134.902,59.8,2.037,4.849,2.09,4.92
Female,Copulate,194,399,0.049,0.0189,196.497,60.3,2.113,4.967,2.117,4.959
Female,Copulate,236,477,0.0464,0.02,138.931,58.6,2.082,,2.07,4.884
Female,Copulate,255,527,0.0496,0.0224,208.85,58,2.027,,1.959,
Female,Copulate,238,484,0.0416,0.0179,68.719,62.4,,,2.08,5.092
Female,Copulate,224,445,0.0465,0.0097,119.313,57.5,1.998,4.828,2.027,4.838
Female,Copulate,205,420,0.0316,0.0093,32.885,58.2,1.929,4.57,1.955,4.524
Female,Copulate,236,477,0.034,0.0093,186.056,55,1.911,4.595,1.868,4.569
Female,Copulate,239,485,0.0318,0.0104,55.519,61.2,2.003,4.674,2.008,
Female,Copulate,236,477,0.038,0.0085,13.862,56.8,1.924,4.466,1.929,4.513
Female,Copulate,231,486,0.0389,0.0111,186.28,53,2.151,4.736,1.996,4.745
Female,Copulate,233,473,0.037,0.0081,43.921,60.6,1.773,4.57,1.769,4.591
Female,Copulate,232,476,0.0351,0.0107,170.299,55.4,1.882,4.619,1.856,
Female,Copulate,251,504,0.0331,0.0088,33.338,55.7,1.923,,1.879,
Female,Copulate,242,499,0.0388,0.0141,14.199,56.5,1.867,4.518,1.939,4.538
Female,Copulate,253,511,0.0382,0.0088,210,58.4,1.937,,1.972,
Female,Copulate,235,477,0.0466,0.0153,208.545,55,2.106,5.074,2.029,5.075
Female,Copulate,240,478,0.0435,0.0138,51.322,63.4,2.003,,2.033,4.798
Female,Copulate,233,444,0.0359,0.008,145.473,56.9,1.939,4.552,1.941,4.571
Female,Copulate,226,455,0.028,0.008,89.13,54.4,1.844,,1.883,
Female,Copulate,234,473,0.0451,0.0175,171.961,53.8,2.059,4.823,2.072,4.83
Female,Copulate,253,512,0.0369,0.015,172.882,56.1,1.783,4.56,1.878,
Female,Copulate,233,471,0.0375,0.0102,157.017,54.6,1.899,4.792,2.001,
Female,Copulate,248,503,0.0359,0.0124,11.331,55.9,1.935,,1.835,
Female,Copulate,214,423,0.0452,0.013,179.195,56.6,2.001,4.736,1.979,
