J06_No_Irrad,State ,WB_Arm1,WB_Arm2,Wet weight,Dry_wheigth,Time fly (s),Intensity(dB)Edit,Wing Lw (mm),Wing Ll (mm),Wing Rw (mm),Wing Rl (mm)
Male,Copulate,285,573,0.0362,0.0132,79.139,66,,,,
Male,Copulate,236,474,0.0388,0.0076,36.583,50.2,1.853,4.82,1.704,4.865
Male,Copulate,224,448,0.0335,0.0104,34.064,54.1,1.928,,1.829,4.85
Male,Copulate,245,496,0.0533,0.0118,12.666,51.2,2.069,5.384,2.186,
Female,Virgin,189,379,0.0436,0.0129,35.532,52.2,2.062,4.872,2.052,4.899
Female,Virgin,236,475,0.0333,0.0093,65.858,56.6,1.972,4.457,1.971,4.464
Female,Virgin,218,452,0.0451,0.0154,183.990,46.7,2.09,4.832,2.084,4.825
Female,Virgin,207,417,0.0411,0.0123,108.286,54.2,2.015,4.78,2.016,4.781
Female,Virgin,194,400,0.0439,0.012,210.000,57.4,2.016,4.847,2.017,4.861
Female,Virgin,256,540,0.0313,0.0096,81.099,67.1,1.92,5.354,,
Female,Virgin,197,404,0.0434,0.0133,124.563,52.3,2.149,4.957,2.104,4.942
Female,Virgin,193,398,0.0432,0.0156,87.121,54.6,2.001,4.83,2.055,4.908
Female,Virgin,197,401,0.0412,0.0119,54.918,53.7,2.074,4.781,2.096,4.818
Female,Virgin,227,459,0.0341,0.0103,192.976,58.7,1.934,4.568,1.913,4.593
Female,Virgin,231,468,0.0364,0.01,55.470,54.3,1.999,4.553,2.003,
Female,Virgin,229,456,0.0445,0.0125,145.651,56.1,2.089,4.958,2.015,4.981
Female,Virgin,193,400,0.0411,0.0135,50.620,58.9,2.008,4.767,2.128,4.722
Female,Virgin,218,447,0.0501,0.0165,115.995,53.9,2.123,,2.112,
Female,Virgin,238,480,0.0449,0.0128,168.380,55.1,2.022,4.812,2.068,4.803
Female,Virgin,216,440,0.0484,0.0142,73.944,55.3,2.103,4.825,2.032,4.796
Female,Virgin,241,483,0.0435,0.0122,156.724,49.1,2.061,,2.04,4.649
Female,Virgin,228,453,0.0498,0.0144,146.866,55.1,1.994,4.714,2.03,4.745
Female,Virgin,232,470,0.0457,0.0124,81.072,53.1,2.059,4.741,2.06,4.715
Female,Virgin,226,460,0.0452,0.013,174.87,54.8,2.171,4.832,2.111,4.841
Female,Virgin,228,460,0.0406,0.0115,119.948,56.4,2.025,,2.001,4.62
Female,Virgin,217,428,0.0424,0.0124,37.669,52.3,1.973,4.935,2.014,4.928
Female,Virgin,236,474,0.0417,0.0118,123.669,49.7,2.04,4.792,2.067,4.795
Female,Virgin,217,440,0.0485,0.0139,59.397,60.1,2.053,,2.076,4.81
Female,Virgin,258,499,0.0392,0.0107,115.455,56.7,1.966,,1.966,4.65
Female,Virgin,238,487,0.0362,0.0101,98.987,50.3,1.944,4.486,1.884,4.494
Female,Virgin,214,448,0.0427,0.0121,123.077,53.3,1.942,4.73,2.024,4.745
Female,Virgin,225,454,0.0473,0.0138,113.081,50.5,2.055,4.736,2.021,4.796
Female,Virgin,230,479,0.0482,0.0136,140.600,45.7,2.171,4.946,2.173,5.019
Female,Virgin,235,481,0.0328,0.01,144.687,52.8,1.914,4.525,1.914,
Female,Virgin,243,516,0.045,0.0134,15.023,45.1,2.084,,2.014,4.847
Female,Virgin,248,501,0.0432,0.013,12.91,54,2.005,,1.986,
Female,Virgin,221,455,0.047,0.014,97.905,57.6,2.138,4.753,2.095,4.759
Female,Virgin,236,502,0.0419,0.0124,208.208,50.1,2.012,4.713,1.985,4.775
Female,Virgin,235,478,0.0392,0.0112,91.020,53.4,1.994,4.605,2.004,4.623
Female,Virgin,276,533,0.0378,0.0102,78.704,53.4,1.888,,1.852,4.48
Female,Virgin,221,446,0.0287,0.0079,44.431,50.6,1.833,4.399,1.862,4.42
Female,Virgin,216,430,0.0546,0.0151,210,49.8,2.148,5.082,2.244,5.053
Female,Virgin,195,411,0.0536,0.0142,58.924,47.1,2.129,5.075,2.159,5.097
Female,Virgin,210,409,0.0493,0.0131,64.244,50,2.065,4.801,2.106,4.825
Female,Virgin,212,440,0.0553,0.016,105.686,51.2,2.081,5.078,2.125,5.011
Female,Virgin,241,490,0.0415,0.0133,24.144,51.3,2.034,,2.086,4.76
Female,Virgin,225,407,0.0534,0.0162,191.144,49.7,2.219,5.119,2.182,5.134
Female,Virgin,215,433,0.0409,0.0122,127.536,48.6,1.979,4.728,1.946,4.7
Female,Virgin,244,509,0.0598,0.0186,165.399,47.5,2.122,,2.116,5.156
Female,Virgin,228,444,0.045,0.0134,93.008,49.4,1.992,4.84,2.035,4.848
Female,Virgin,231,462,0.0295,0.0087,205.863,55.2,1.763,,1.712,4.346
Female,Virgin,237,481,0.0488,0.0142,156.584,48.7,2.06,4.825,2.058,4.87
Female,Virgin,226,450,0.0511,0.0158,95.858,52.7,2.138,,2.123,4.976
Female,Virgin,217,437,0.0499,0.015,143.413,51.3,2.072,4.871,2.116,4.878
Female,Virgin,235,478,0.0379,0.014,199.152,54.4,1.969,4.532,1.91,4.548
Female,Virgin,207,421,0.05,0.0139,118.184,55.5,2.071,4.838,2.174,4.869
Female,Virgin,234,463,0.0487,0.0149,118.695,50.6,2.043,4.884,2,4.951
Female,Virgin,224,446,0.0517,0.0178,84.451,46.4,1.998,4.893,2.006,4.875
Female,Virgin,166,350,0.0393,0.0114,140.827,51.6,2.08,4.85,2.05,4.835
Female,Virgin,223,439,0.0524,0.0179,125.945,47,2.117,4.845,2.102,4.872
Female,Virgin,220,443,0.0428,0.0125,99.016,52.6,1.973,4.696,1.969,
Female,Virgin,231,459,0.0525,0.016,120.144,50,2.108,4.906,2.145,4.914
Female,Virgin,203,406,0.0452,0.0136,182.463,48.5,2.16,,2.145,5.04
Female,Virgin,235,477,0.0514,0.0159,126.241,48,2.159,4.866,2.152,4.958
Female,Copulate,266,532,0.0431,0.0158,92.915,54.7,1.931,4.537,2.015,
Female,Copulate,227,451,0.05,0.017,73.886,46.2,2.124,4.991,2.13,4.966
Female,Copulate,212,434,0.0346,0.01,179.700,59.8,1.867,,1.86,4.472
Female,Copulate,236,475,0.0451,0.0167,52.396,50.7,2.1,4.832,2.112,4.893
Female,Copulate,237,482,0.0522,0.0189,114.707,53.6,2.099,5.144,2.111,5.134
Female,Copulate,227,452,0.0432,0.0154,84.695,54.7,1.976,4.721,1.996,4.689
Female,Copulate,217,435,0.04,0.0148,126.465,55.5,1.97,4.58,1.931,4.728
Female,Copulate,196,401,0.0457,0.0155,40.403,55.7,2.047,4.767,1.984,4.749
Female,Copulate,185,366,0.0499,0.0165,59.106,49.8,2.098,5.016,2.054,5.032
Female,Copulate,218,427,0.0392,0.0133,15.038,54.3,2.06,4.83,2.04,4.883
Female,Copulate,231,460,0.0492,0.0158,11.482,49.4,2.129,4.884,2.167,4.952
Female,Copulate,224,452,0.0428,0.0159,4.214,49.1,2.057,4.75,2.043,4.757
Female,Copulate,201,433,0.0416,0.0136,15.964,58.3,1.94,4.85,2.055,4.894
Female,Copulate,208,424,0.0451,0.0162,7.546,51.4,2.037,4.811,1.985,4.741
Female,Copulate,233,471,0.0562,0.0207,6.165,49.4,2.211,4.903,2.173,4.908
Female,Copulate,205,410,0.0413,0.0133,40.676,50.8,2.049,4.572,2.021,4.582
Female,Copulate,248,498,0.0416,0.0129,37.164,45,1.967,4.73,1.954,4.777
Female,Copulate,206,414,0.0568,0.0249,17.995,56.9,2.09,4.818,2.143,4.888
Female,Copulate,228,447,0.0487,0.0193,66.438,57.3,1.975,4.792,1.982,4.788
Female,Copulate,220,456,0.0519,0.0187,2.877,53.2,2.109,4.733,2.098,4.821
Female,Copulate,207,417,0.0332,0.0126,5.433,54.4,2.109,4.953,2.091,5.004
Female,Copulate,205,409,0.0346,0.0123,42.937,58.9,1.732,4.568,1.901,
Female,Copulate,226,453,0.0415,0.0128,55.345,57.5,2.126,4.946,1.993,
Female,Copulate,194,388,0.0348,0.0109,35.828,52,2.003,4.784,1.902,4.799
Female,Copulate,202,402,0.0364,0.0111,12.539,58.5,2.016,4.805,2.036,4.826
Female,Copulate,163,337,0.0341,0.0112,5.654,52.4,1.986,4.75,2.046,4.821
Female,Copulate,241,588,0.0304,0.0106,0.325,64.4,1.953,4.703,1.884,4.777
Female,Copulate,207,411,0.0399,0.0137,40.435,49.4,,,2.156,4.939
Female,Copulate,158,355,0.0348,0.0123,22.082,49,2.108,5.063,2.162,5.059
Female,Copulate,163,327,0.0404,0.0129,8.545,50.7,2.046,4.845,2.097,4.913
Female,Copulate,215,604,0.0385,0.0125,6.223,59.3,2.212,4.961,2.144,5.022
Female,Copulate,207,378,0.0358,0.011,3.065,57.3,2.036,4.669,2.041,4.705
Female,Copulate,196,397,0.0425,0.0139,7.047,52.2,2.041,5.018,2.025,5.062
