J06_Irrad,State ,WB_Arm1,WB_Arm2,Wet weight,Dry_wheigth,Time fly (s),Intensity(dB)Edit,Wing Lw (mm),Wing Ll (mm),Wing Rw (mm),Wing Rl (mm)
Female,Virgin,237,481,0.0301,0.0093,30.407,51.3,1.746,4.518,1.89,4.563
Female,Virgin,197,416,0.0375,0.0131,34.006,57,1.977,4.668,2.014,4.768
Female,Virgin,227,457,0.0352,0.0109,45.685,50.9,1.972,4.806,2.047,4.81
Female,Virgin,231,457,0.0315,0.0099,68.197,44.7,1.954,4.912,1.845,4.987
Female,Virgin,217,447,0.0368,0.0111,6.293,53.7,1.92,4.672,2.043,4.748
Female,Virgin,192,401,0.0398,0.0127,185.551,62.3,2.091,4.948,2.055,4.95
Female,Virgin,229,458,0.037,0.012,47.961,46.6,1.939,4.825,1.913,4.845
Female,Virgin,216,453,0.0393,0.0118,48.248,46.7,2.22,4.959,2.2,5.037
Female,Virgin,221,444,0.0373,0.0118,22.205,48.1,2.039,4.657,1.908,4.642
Female,Virgin,237,483,0.0352,0.011,123.136,48.9,1.906,4.655,1.949,4.738
Female,Virgin,237,474,0.0479,0.0159,42.127,47.1,1.967,5,2.042,5.07
Female,Virgin,220,441,0.0357,0.0105,185.479,48.8,2.013,4.766,1.939,4.811
Female,Virgin,206,424,0.0398,0.013,110.388,54.5,1.906,4.764,1.967,4.826
Female,Virgin,243,490,0.0484,0.0182,52.248,49,2.003,4.753,2.007,4.771
Female,Virgin,236,463,0.0333,0.0117,162.029,51.2,1.871,4.659,1.966,
Female,Virgin,236,480,0.0471,0.015,185.15,50.6,1.988,4.71,1.899,4.744
Female,Virgin,236,482,0.0343,0.0128,24.015,45.9,1.825,4.387,1.867,4.419
Female,Copulate,189,378,0.0304,0.0101,88.747,52.2,2.035,4.776,2.052,4.828
Female,Copulate,210,433,0.0323,0.0075,16.922,55.9,2.021,4.665,2.009,4.772
Female,Copulate,210,424,0.0327,0.007,3.1,47.7,2.03,4.724,2.064,
Female,Copulate,195,386,0.0404,0.0131,85.229,55.9,2.073,4.938,2.058,4.934
Female,Copulate,227,452,0.0318,0.0073,122.787,50.9,1.977,4.593,1.975,4.574
Female,Copulate,197,393,0.0297,0.0087,5.515,54.2,1.835,4.505,1.771,4.491
Female,Copulate,220,443,0.0357,0.0071,118.242,52.3,2.141,4.65,2.008,4.659
Female,Copulate,225,452,0.0457,0.0134,4.963,50.8,2.1,4.692,2.108,4.732
Female,Copulate,206,452,0.037,0.0094,61.359,55.9,2.035,,2,
Female,Copulate,217,439,0.0387,0.0134,180.983,57,2.016,4.711,2.005,4.737
Female,Copulate,239,494,0.0427,0.0141,161.35,59.4,1.964,4.651,1.939,4.7
Female,Copulate,198,407,0.0399,0.0117,87.789,61.4,1.955,4.66,1.972,4.728
Female,Copulate,222,446,0.042,0.016,54.318,55.7,1.989,4.639,1.79,4.625
Female,Copulate,233,468,0.0318,0.0079,15.685,55.2,1.98,,1.938,4.675
Female,Copulate,217,432,0.0501,0.0153,29.222,55,2.081,4.79,2.04,4.789
Female,Copulate,214,437,0.0398,0.0125,8.127,52.1,2.051,4.733,2.047,4.8
Female,Copulate,232,462,0.036,0.0134,171.683,56.8,1.863,4.584,1.906,4.65
Female,Copulate,219,438,0.0433,0.0139,69.73,55.9,1.989,4.584,1.956,4.659
Female,Copulate,226,459,0.044,0.0123,11.447,66.4,2.031,4.626,1.94,4.683
Female,Copulate,186,368,0.0496,0.0172,2.833,50.3,2.171,5.008,2.197,5.041
Female,Copulate,227,455,0.0338,0.0113,110.063,56,2.032,4.694,2.064,4.718
Female,Copulate,215,428,0.0437,0.0153,193.82,55.9,2.042,4.727,1.964,4.718
Female,Copulate,236,474,0.0382,0.0137,102.679,58.1,1.888,4.633,1.932,4.767
Female,Copulate,204,422,0.0357,0.0116,14.373,51.1,2.038,4.841,2.088,4.958
Female,Copulate,219,431,0.0391,0.0141,17.235,48.8,1.958,4.829,1.872,4.783
Female,Copulate,215,436,0.0336,0.0127,6.536,62.3,2.08,4.677,2.073,4.676
Female,Copulate,227,455,0.0471,0.019,6.699,59.9,2.029,4.854,2.046,4.858
Female,Copulate,199,423,0.0306,0.0113,136.252,60.5,1.948,4.612,1.93,4.655
Female,Copulate,232,462,0.0471,0.0199,5.399,50.4,2.082,4.695,2.105,4.702
Female,Copulate,216,431,0.0401,0.0143,20.016,49.8,1.964,4.767,2.01,4.8
Female,Copulate,201,409,0.0451,0.0178,1.602,47.9,2.084,4.808,2.072,
Female,Copulate,217,444,0.0469,0.0188,63.147,45.7,2.038,4.884,2.046,4.958
Female,Copulate,177,374,0.0482,0.0191,33.146,58.1,2.13,4.974,2.148,5.008
Female,Copulate,223,456,0.0343,0.0118,0.94,48.8,1.964,,1.917,4.6
Female,Copulate,220,447,0.0387,0.0151,51.676,57.7,1.915,4.635,1.864,4.678
Female,Copulate,223,450,0.037,0.0141,16.417,52.2,1.964,4.642,1.963,
Female,Copulate,215,443,0.0332,0.0135,5.712,56.9,1.744,4.205,1.77,4.198
Female,Copulate,203,418,0.0417,0.0193,31.045,49.1,1.931,4.664,1.888,4.683
Female,Copulate,221,454,0.0474,0.0189,63.275,56.4,2.093,4.787,2.005,4.84
Female,Copulate,193,378,0.0416,0.0142,1.747,52.6,1.997,4.93,2.051,4.937
Female,Copulate,194,409,0.0386,0.0142,70.653,59.3,2.167,4.871,2.064,4.889
Female,Copulate,195,409,0.029,0.0101,18.091,59.6,1.896,4.652,1.856,4.714
Female,Copulate,236,478,0.0305,0.0108,25.072,56.8,1.897,4.518,1.861,4.591
Female,Copulate,215,448,0.0335,0.0114,52.568,55.5,2.018,4.706,2.025,4.721
Female,Copulate,229,469,0.0387,0.0132,33.564,56.2,2.146,4.964,2.078,
Female,Copulate,216,445,0.0447,0.0164,117.046,52.7,1.99,4.805,2.031,4.829
Female,Copulate,226,458,0.0439,0.0157,38.446,60.1,2.003,4.822,2.051,4.837
Female,Copulate,227,457,0.0479,0.0206,63.693,59.5,2.08,4.971,2.08,4.973
Female,Copulate,194,417,0.0412,0.0144,2.844,53,2.126,5.055,2.137,5.057
Female,Copulate,224,453,0.0349,0.0131,53.94,60.1,1.924,4.726,1.937,4.681
Female,Copulate,233,466,0.0491,0.0193,150.347,53.3,1.941,4.627,1.931,4.66
Female,Copulate,197,410,0.0319,0.0117,33.597,60.4,1.907,4.477,1.909,4.531
Female,Copulate,232,463,0.0375,0.0153,7.796,53,1.896,4.468,1.875,4.483
Female,Copulate,237,479,0.0498,0.0187,104.583,56,2.098,4.979,2.084,5.054
Female,Copulate,228,456,0.035,0.0141,118.114,49.4,1.786,4.373,1.779,4.355
Female,Copulate,220,450,0.0333,0.0133,34.342,57.5,1.794,4.347,1.844,4.401
Female,Copulate,201,409,0.0348,0.0109,38.081,52.6,2.039,4.612,2.01,4.672
Female,Copulate,206,416,0.0443,0.0127,10.019,51.7,2.005,,2.065,4.918
Female,Copulate,237,491,0.045,0.0153,62.169,49.4,2.03,4.957,2.139,4.966
Female,Copulate,210,432,0.0446,0.0187,112.646,59.8,1.727,4.679,1.898,4.699
