group,gender,WB_Arm1,WB_Arm2
WildType_Yaviza,Male,233,470
WildType_Yaviza,Male,234,452
WildType_Yaviza,Male,225,474
WildType_Yaviza,Male,237,491
WildType_Yaviza,Male,235,481
WildType_Yaviza,Male,240,513
WildType_Yaviza,Male,240,515
WildType_Yaviza,Male,217,441
WildType_Yaviza,Male,248,510
WildType_Yaviza,Male,241,456
WildType_Yaviza,Male,214,437
WildType_Yaviza,Male,241,494
WildType_Yaviza,Male,200,383
WildType_Yaviza,Male,237,482
WildType_Yaviza,Male,235,480
WildType_Yaviza,Male,230,460
WildType_Yaviza,Male,183,371
WildType_Yaviza,Male,231,456
WildType_Yaviza,Male,214,428
WildType_Yaviza,Male,228,460
WildType_Yaviza,Male,242,488
WildType_Yaviza,Male,222,449
WildType_Yaviza,Male,240,489
WildType_Yaviza,Male,198,408
WildType_Yaviza,Male,221,456
WildType_Yaviza,Male,243,508
WildType_Yaviza,Male,228,459
WildType_Yaviza,Male,228,463
WildType_Yaviza,Male,238,485
WildType_Yaviza,Male,211,421
WildType_Yaviza,Male,241,474
WildType_Yaviza,Male,232,466
WildType_Yaviza,Male,240,493
WildType_Yaviza,Male,237,496
WildType_Yaviza,Male,240,491
WildType_Yaviza,Male,216,427
WildType_Yaviza,Male,242,495
WildType_Yaviza,Male,240,484
WildType_Yaviza,Male,237,499
WildType_Yaviza,Male,233,474
WildType_Yaviza,Male,254,517
WildType_Yaviza,Male,236,469
WildType_Yaviza,Male,224,450
WildType_Yaviza,Male,234,480
WildType_Yaviza,Male,212,434
WildType_Yaviza,Male,239,489
WildType_Yaviza,Male,258,523
WildType_Yaviza,Male,237,459
WildType_Yaviza,Male,196,400
WildType_Yaviza,Male,247,505
WildType_Yaviza,Male,216,448
WildType_Yaviza,Male,259,519
WildType_Yaviza,Male,282,565
WildType_Yaviza,Male,232,466
WildType_Yaviza,Male,241,499
WildType_Yaviza,Male,223,451
WildType_Yaviza,Male,258,538
WildType_Yaviza,Male,228,456
WildType_Yaviza,Male,242,491
WildType_Yaviza,Male,236,508
WildType_Yaviza,Male,237,474
WildType_Yaviza,Male,232,461
WildType_Yaviza,Male,239,486
WildType_Yaviza,Male,244,495
WildType_Yaviza,Male,236,473
WildType_Yaviza,Male,238,488
WildType_Yaviza,Male,229,442
WildType_Yaviza,Male,237,481
WildType_Yaviza,Male,237,484
WildType_Yaviza,Male,235,473
WildType_Yaviza,Male,248,504
WildType_Yaviza,Male,206,421
WildType_Yaviza,Male,244,496
WildType_Yaviza,Male,236,474
WildType_Yaviza,Male,239,491
WildType_Yaviza,Male,238,478
WildType_Yaviza,Male,252,513
WildType_Yaviza,Male,228,456
